"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","how to control blast disease of paddy ?","use trycyclozole","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 07:39:31.593"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","how to control fungal attack in bitter gourd crop ?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of watr.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 07:40:06.287"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot and fruit borer:","Insecticide	Dose
Azadirachtin 1.0% EC (10000 ppm)	3.0  ml/lit.
Azadirachtin 0.03 % WSP (300 ppm)	5.0  g/lit.
Chlorpyrifos 20 % EC	1.0  ml/lit.
Dimethoate 30 % EC	7.0  ml/10 lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Flubendiamide 20 WDG	7.5 g/10 lit.
Phosalone 35 % EC	1.5  ml/lit.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 08:52:53.167"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","thrips problem on chilli","Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.
Fipronil 5 % SC	1.5 ml/lit.
Oxydemeton –Methyl 25 % EC	1.0 ml/lit.
Phosalone 35 % EC	2.0 ml/lit.
Spinosad 45 % SC	3.2 ml/10 lit.
Thiacloprid 21.7 % SC	6.0 ml/10 lit.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 08:57:28.313"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA","2014-08-21 11:39:00.753"
"KHARIF","AGRICULTURE","","","","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA","2014-08-21 11:45:24.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","Kawardha 1 – 3 Day Weather Forecast Summary: Light rain (total 8mm), mostly falling on Fri night. Warm (max 35°C on Thu afternoon, min 25°C on Sat night). Wind will be generally light.Kawardha 4 – 7 Day Weather Forecast Summary: Light rain (total 6mm), mostly falling on Tue afternoon. Warm (max 33°C on Sun afternoon, min 27°C on Sun night). Wind will be generally light.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA","2014-08-21 13:31:54.050"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control of fungal attack in paddy crop ?","spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 15:01:06.390"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control of fungal attack in paddy crop ?","spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-08-21 17:34:09.537"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-21 20:12:26.010"
