"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:37:37.103"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:37:54.950"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:38:08.350"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:38:21.353"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:38:34.260"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:38:47.270"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:39:00.477"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:39:26.877"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:39:40.457"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Tomato spotted wilt disease","drench with Copper oxychloride at 2.5 g/lit at 4 lit/sq.m and Leaf spot can be controlled by spraying Mancozeb 2 g/lit or Copper oxychloride 2.5 g/lit.","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:41:12.690"
